timestamp,S_AU12Mean,S_AU12Variance,S_AU12ActivationFrequency,S_AU15MeanAmplitude,S_AU4MeanActivation,S_AU4DurationRatio,S_AU1AU2PeakIntensity,S_AU20ActivationRate,S_LipCompressionFrequency,S_BlinkRate,S_BlinkClusterDensity,S_BaselineEyeOpenness,S_GazeShiftFrequency,S_EyeContactRatio,S_DownwardGazeFrequency,S_MeanHeadVelocity,S_HeadVelocityPeak,S_HeadMotionEnergy,S_LandmarkDisplacementMean,S_PostureRigidityIndex,S_OverallAUVariance,S_FacialEmotionalRange,S_FacialTransitionFrequency,S_NearZeroAUActivationRatio,S_MotionEnergyFloorScore,S_GestureFrequency,S_MicroMotionEnergy,S_ShoulderElevationIndex,S_ResponseLatencyMean,S_SpeechOnsetDelay,S_NodOnsetLatency,S_PauseDurationMean,S_ExtendedSilenceRatio,S_ReactionTimeInstabilityIndex
1772743555.4445481,0.5478180337430123,0,1.0,0.08436228218762941,0.781286942474838,1.0,1.0,1.0,0.0,0,0,0.1121763973494668,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772743555.5330622,0.5382624414836568,0.0,1.0,0.0828263584602018,0.7860435381867856,1.0,1.0,1.0,0.0,0.0,0.0,0.1114846144431289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1772743555.5560193,0.5342720418607318,0.0,1.0,0.0827799979841049,0.7880057696060225,1.0,1.0,1.0,0.0,0.0,0.0,0.1111140688530891,0.0,0.0,0.0,0.002739146118413043,0.0033697907365506357,0.013695730592065213,0.001702850917425821,0.29999924249362026,6.848200757029162e-06,0.0028666776778066617,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0
1772743555.5748396,0.5307334715890544,0.0,1.0,0.0832614061434826,0.7869884259258305,1.0,1.0,1.0,0.0,0.0,0.0,0.11052268761492456,0.0,0.0,0.0,0.003260882334571224,0.00417191980747867,0.01630441167285612,0.0019035556812812527,0.5099989369699035,1.4484624818337164e-05,0.006070471939148798,0.0,0.0,0.5569999999999999,0.0,0.0001702850917425821,0.0,0.0,0.0,0.0,0.005,0.5569999999999999,0.0003223290483845176
1772743555.593667,0.5328029228212319,3.9264107750586105e-05,1.0,0.08375246743904766,0.7877450237461451,1.0,1.0,1.0,0.0,0.0,0.0,0.11044427096366015,0.0,0.0,0.0,0.003519662525986406,0.004685997665481126,0.017598312629932028,0.002208276186770812,0.6569981160174623,2.2360780995705695e-05,0.009374699003591537,0.0,0.0,0.5398999999999999,0.0,0.00038968005912283797,0.0,0.0,0.0,0.0,0.0085,0.5398999999999999,0.0005313656689370797
1772743555.6108634,0.5273484943829135,6.976743799309731e-05,1.0,0.08291723176495037,0.7885517514297041,1.0,1.0,1.0,0.0,0.0,0.0,0.11056332966231586,0.0,0.0,0.0,0.0037250896840663192,0.005649893007523861,0.018625448420331595,0.0026926168396940904,0.7598974713302779,2.6614744685710394e-05,0.011687657948701453,0.0,0.0,0.49792999999999993,0.0,0.0006216570085146597,0.0,0.0,0.0,0.0,0.010950000000000001,0.49792999999999993,0.0006353061580776209
1772743555.633545,0.527947082083741,8.524108368637745e-05,1.0,0.0830828225212248,0.7884873962410756,1.0,1.0,1.0,0.0,0.0,0.0,0.11055785429072212,0.0,0.0,0.0,0.0032160829244607236,0.005062504656981208,0.016080414622303616,0.0023664028060030374,0.8319279846566476,3.147013087953551e-05,0.014322222372120646,0.0,0.0,0.4485509999999999,0.0,0.0008605248872188605,0.0,0.0,0.0,0.0,0.012665000000000001,0.4485509999999999,0.0006747547474263494
1772743555.6655376,0.536816067274761,0.00012098414963679932,1.0,0.08420335803927545,0.7895814288489207,1.0,1.0,1.0,0.0,0.0,0.0,0.1104805405707456,0.0,0.0,0.0,0.003129560321076224,0.005127327519010344,0.01564780160538112,0.0026749676363016584,0.8823490147678087,3.497038808811434e-05,0.01616641746851408,0.0,0.0,0.3996999857142856,0.0,0.0010683832395321313,0.0,0.0,0.0,0.0,0.0138655,0.3996999857142856,0.0006686941046905731
1772743555.6978161,0.5336970310349112,0.00013989474097768015,1.0,0.08365607843932414,0.7915583604685934,1.0,1.0,1.0,0.0,0.0,0.0,0.11028178252299992,0.0,0.0,0.0,0.0028191829096590234,0.004392240841833663,0.014095914548295117,0.0026432595386876273,0.9176442124545512,3.6032785195061324e-05,0.017457354035989484,0.0,0.0,0.35478998999999994,0.0,0.0012559433952028672,0.0,0.0,0.0,0.0,0.01470585,0.35478998999999994,0.0006364083361632573
1772743555.7295115,0.5282292263335857,0.0001539145201435482,1.0,0.08309217652511473,0.7891862252168423,1.0,1.0,1.0,0.0,0.0,0.0,0.11006962144943991,0.0,0.0,0.0,0.0026388686864146937,0.0040899398813551875,0.013194343432073468,0.0025125793508281335,0.9423507063766822,3.5511846721730876e-05,0.018361009633222267,0.0,0.0,0.3150196596666666,0.0,0.0014188913635141505,0.0,0.0,0.0,0.0,0.015294095,0.3150196596666666,0.0005927844666030748
